protein,gene,EN-181-11_T,EN-216-11_T,EN-430-11_T,EN-454-11_T,EN-711-16_T,EN-716-11_T,EN-797-18_T,EN-181-11_N,EN-216-11_N,EN-430-11_N,EN-454-11_N,EN-711-16_N,EN-716-11_N,EN-797-18_N
RCC1,RCC1,7223600,5216700,13530000,1476100,18807000,30987000,170790000,2578500,1304600,4455700,1720700,5497400,1253500,2329000
TB182,TNKS1BP1,12131000,10638000,7150900,6436400,106190000,96517000,310850000,9920700,12583000,24244000,47067000,102920000,95737000,36382000
LAMP2,LAMP2,78775000,228140000,283510000,84440000,249580000,99204000,282880000,57031000,74404000,73571000,72502000,97554000,211540000,120240000
D39U1,SDR39U1,5034200,21853000,NA,5094200,2317700,5032400,5526600,3944600,4162600,2828700,5108100,4372100,2638700,2787400
PRS6A,PSMC3,107200000,86085000,236800000,55071000,310080000,227710000,265430000,43959000,65963000,133890000,68503000,182070000,180750000,96289000
ACO11,ACOT11,194510,711820,9015300,506340,6032300,2783300,3744300,275520,1036000,NA,2037200,1502400,1401100,816600
ALDR,AKR1B1,100860000,163070000,34013000,11237000,485040000,674150000,326690000,95536000,67694000,11565000,102340000,341020000,255340000,202580000
NDUAC,NDUFA12,3201200,2470300,5848500,3028100,49274000,47955000,21000000,2998000,2672400,1376900,1919400,29656000,30922000,10124000
FPPS,FDPS,79463000,63003000,51862000,44024000,434200000,194200000,361970000,72199000,99999000,144500000,57942000,140550000,174940000,47679000
RABL6,RABL6,30278000,37266000,19909000,7367000,9210900,19991000,19118000,36314000,6948100,3401700,5095400,11564000,11369000,2935100
LZTL1,LZTFL1,8597900,14271000,91514000,36781000,50005000,57196000,26142000,7509700,17472000,57544000,15298000,38245000,19966000,10358000
CUL5,CUL5,6282400,9838300,11005000,3347000,28622000,44808000,16484000,2612800,4637800,6919800,5496800,13950000,17001000,7047100
ALDH2,ALDH2,497470000,446910000,1475500000,386140000,1378300000,1493200000,856720000,328510000,393870000,442090000,416640000,875730000,763850000,707560000
VP26A,VPS26A,52068000,99444000,84545000,36612000,217480000,192770000,129180000,41996000,55850000,40996000,52971000,130080000,117270000,49204000
HECD3,HECTD3,7082200,2357700,7733900,8924100,40002000,18138000,32826000,5723200,2640600,4405200,10675000,12184000,26551000,6940600
KANK2,KANK2,5100700,36922000,14317000,5793100,72813000,110640000,74875000,21778000,26004000,35042000,22518000,154040000,165090000,107840000
PP12C,PPP1R12C,1640900,2757800,847910,6201600,14667000,10327000,5850800,2793600,4027100,5749800,6842900,12172000,26445000,17224000
DCNL1,DCUN1D1,22724000,27546000,92480000,18600000,64749000,54716000,57806000,15682000,18067000,17137000,23003000,25835000,49569000,20851000
SC31A,SEC31A,40967000,76801000,347490000,25563000,401090000,295290000,174960000,34578000,38681000,102650000,33359000,188110000,190790000,63059000
NCPR,POR,29963000,45495000,140550000,37296000,321220000,189890000,168090000,51992000,42748000,118450000,43256000,148060000,74831000,64307000
NDUV2,NDUFV2,39672000,55399000,65427000,32645000,236670000,249390000,87167000,35596000,54890000,58241000,31523000,34977000,98284000,60682000
F10A1,ST13,16290000,12556000,12271000,31037000,196500000,243360000,276850000,24031000,33898000,27266000,27922000,163320000,128070000,71501000
CAP1,CAP1,540430000,718720000,1021400000,362380000,2560900000,1957300000,2217700000,358850000,472980000,575630000,445850000,1615500000,1283500000,909950000
GSH0,GCLM,19375000,13027000,36351000,11914000,22140000,40871000,102580000,11016000,10525000,14935000,16342000,37988000,12678000,9418500
AT2B4,ATP2B4,17873000,16733000,26481000,19368000,49397000,94217000,62187000,44647000,50925000,51618000,44322000,71135000,111290000,100040000
ARL2,ARL2,3698000,3812400,5893800,3069300,11931000,9411600,12181000,4773900,4986600,2695600,1728100,4980500,4993000,2806900
NIPS2,NIPSNAP2,38231000,13778000,10492000,56171000,216730000,249820000,251450000,23559000,18871000,40556000,28800000,136700000,118510000,73781000
RPRD2,RPRD2,21742000,2962100,45695000,10887000,22627000,30009000,10710000,7834400,9574700,5867400,10130000,4901900,6150700,5568500
RS25,RPS25,477440000,286450000,61271000,267790000,908240000,622610000,1334300000,223780000,419320000,178440000,249450000,636080000,410150000,275680000
ARPC4,ARPC4,300020000,336040000,132150000,147710000,1440500000,932350000,969280000,165340000,294410000,262400000,213150000,906450000,436780000,298610000
ATP5H,ATP5PD,200590000,292870000,477410000,186630000,813830000,590440000,436650000,125230000,200510000,115520000,199150000,612810000,391320000,170430000
RMD1,RMDN1,25406000,6047400,15326000,27262000,64892000,63857000,62134000,15459000,10282000,23676000,21782000,46675000,33191000,9369900
IPO11,IPO11,9729200,11167000,376190,4860900,24797000,16854000,29823000,3138700,4727500,12099000,10620000,7871200,7682000,4529900
HYI,HYI,1120900,5364000,6962800,273070,9179400,18284000,10679000,3989600,3277000,1706800,357230,4221700,9057200,3619900
CLH1,CLTC,261350000,496470000,183960000,152060000,1820600000,1305100000,923850000,174090000,220740000,179260000,135180000,783530000,771050000,277620000
ULA1,NAE1,20173000,29597000,181490000,24728000,109780000,133030000,69160000,42695000,15826000,83363000,13034000,83444000,75834000,30118000
NDUS1,NDUFS1,59705000,76402000,72493000,31238000,450490000,409990000,116030000,43803000,64250000,53930000,48048000,234270000,206810000,86537000
CLPX,CLPX,9493800,2181000,8961800,9739000,23122000,39483000,34529000,9810900,7725800,5751000,2319200,9118000,9368600,2745000
CERT,CERT1,5429800,4394200,14243000,5928300,19509000,18373000,35255000,4639800,6627600,15818000,11584000,8774900,11031000,3728300
RADI,RDX,34075000,17941000,7117000,25614000,139090000,82960000,144400000,22968000,24715000,28392000,22142000,85095000,56585000,33965000
MSH2,MSH2,30913000,10335000,23180000,4613300,56621000,37032000,48787000,8291800,8553400,6242300,18221000,18853000,38790000,12597000
SYQ,QARS1,25067000,38326000,13770000,44099000,358510000,193840000,255770000,22430000,92905000,17200000,33117000,102510000,187900000,56843000
ACDSB,ACADSB,13113000,14239000,112580000,29526000,313660000,97200000,187780000,2436800,2850400,11295000,44592000,226440000,43553000,11139000
GBP1,GBP1,12314000,9194700,12613000,15226000,104740000,188370000,74633000,20659000,29171000,54040000,21741000,58709000,48666000,20340000
ACSL3,ACSL3,52075000,9890100,29674000,32905000,118640000,71859000,87850000,20013000,41522000,30273000,26485000,40165000,64811000,21498000
TPIS,TPI1,2915700000,4041600000,7361400000,2377800000,9118800000,6837900000,6080300000,1582300000,2312900000,2579900000,2833700000,5376000000,6294800000,2561700000
MIC60,IMMT,122090000,102950000,323440000,79169000,502690000,314930000,417000000,146200000,112650000,130450000,108260000,307850000,217120000,57557000
TPM3,TPM3,28356000,28024000,17142000,40612000,193170000,137260000,258450000,28781000,30586000,45508000,22634000,105040000,101150000,39556000
HMGB3,HMGB3,368410,101500000,167890,2914500,87991000,31851000,157870000,1274500,2563600,7898100,149060,3102100,NA,33481
TPPP,TPPP,10064000,598510,70900000,7781000,48604000,27150000,24494000,6837400,18545000,15853000,12510000,7002200,2573000,9480500
COA3,COA3,5034500,1121200,2129000,4689200,61480000,48284000,50171000,4722700,25996000,7738800,1467700,31447000,9552400,11955000
NUDT4,NUDT4,4028400,11029000,5528400,683570,6805700,15650000,11812000,318620,393660,1670200,147260,11276000,3799000,2408700
GNA13,GNA13,22565000,28456000,11777000,7240600,95568000,60687000,38405000,13363000,18229000,9027900,6700200,39189000,60118000,14971000
CTND1,CTNND1,124980000,125580000,311110000,81382000,812990000,630480000,1089200000,95705000,171470000,200030000,157870000,502600000,637100000,174080000
OSBL2,OSBPL2,1683600,2625300,12325000,968560,28424000,33817000,13247000,NA,1455400,2335200,222920,12539000,27378000,2299200
NEUA,CMAS,2492800,11993000,51502000,10350000,54164000,60427000,112790000,16792000,21420000,32829000,30019000,40489000,25105000,18810000
HDHD3,HDHD3,25394000,45788000,30261000,76600000,315970000,215090000,41156000,3525800,6188800,5432500,3828700,48476000,28773000,1101000
PP6R1,PPP6R1,2450300,12756000,1986400,678700,11177000,8481300,13282000,1100400,2676600,3907200,3003400,10945000,1728800,1941100
MIC26,APOO,8709900,11465000,5900900,11747000,15709000,44052000,19495000,4876100,7794200,6770800,4914000,18288000,24877000,4135300
ODPX,PDHX,8054500,20514000,2368600,5416700,76855000,33680000,29298000,6078500,11862000,9064700,13063000,24894000,18012000,8395800
APOE,APOE,71597000,80009000,43710000,28641000,188670000,155010000,186370000,61095000,41387000,35139000,27940000,107270000,149350000,39870000
IGKC,IGKC,565230000,2118200000,363670000,564890000,10285000000,3147800000,2761000000,883810000,2071700000,447830000,837970000,4172500000,2739800000,985370000
EHD2,EHD2,76229000,15286000,316680000,3158700,717880000,836460000,393360000,127420000,142900000,191720000,233680000,1356800000,1023800000,771730000
MMSA,ALDH6A1,26782000,49676000,37593000,13331000,315880000,157720000,120170000,34767000,17510000,17982000,21576000,129310000,169620000,51503000
RFA2,RPA2,44450000,23872000,1190100,26258000,133560000,112560000,81002000,11189000,16440000,6388700,20802000,68628000,77502000,50095000
DHB4,HSD17B4,98081000,120860000,55066000,63402000,618050000,392580000,834050000,33792000,89210000,109910000,113140000,405030000,514600000,73804000
SNX2,SNX2,36098000,39718000,12284000,7397800,212380000,126830000,153270000,37163000,37988000,47270000,32310000,100220000,66891000,39290000
HBB,HBB,25829000000,27469000000,46728000,78566000000,85510000000,44936000000,58620000000,24655000000,36097000000,44103000000,26241000000,213900000000,127620000000,49784000000
NU107,NUP107,6173100,3429900,12135000,4815800,14706000,18478000,27425000,2432900,23532000,2611500,3189000,5144400,4682000,2715500
TTC1,TTC1,21902000,21321000,66294000,14137000,56706000,44324000,70940000,13757000,19196000,9778900,20151000,37257000,68467000,13097000
HYEP,EPHX1,90728000,142320000,204790000,30860000,494320000,302670000,313130000,157990000,256540000,201700000,277110000,760580000,1116000000,555300000
SNAA,NAPA,49313000,113650000,23975000,38944000,302100000,215260000,424520000,36672000,45492000,43096000,47333000,226860000,239860000,79236000
ELOB,ELOB,90914000,70521000,57922000,56514000,47678000,219530000,167160000,27945000,41923000,28659000,57537000,36904000,14767000,53493000
YKT6,YKT6,41041000,37959000,18184000,22823000,161460000,145220000,123460000,70652000,22914000,46150000,36767000,51151000,76451000,32341000
IFIT1,IFIT1,8876400,17149000,NA,298060,7507800,12146000,13144000,4399900,1216600,13772000,3062100,2600800,5919600,5430800
RL30,RPL30,313500000,252220000,167860000,284490000,944580000,960040000,1573700000,174750000,272570000,375970000,281200000,829330000,494990000,343340000
TMT1A,TMT1A,35621000,151450000,37408000,13111000,236030000,325510000,212720000,57907000,66151000,47543000,66941000,151290000,155950000,78223000
TNAP2,TNFAIP2,6345600,11937000,13654000,5949500,4056500,51294000,23812000,4721100,2677500,13762000,6207600,17977000,3912500,6914800
UB2L3,UBE2L3,88749000,81644000,224740,53142000,252630000,201500000,149460000,41266000,59334000,58488000,61866000,113980000,136690000,39159000
C1TC,MTHFD1,93419000,79512000,122900000,82687000,408220000,219270000,159660000,39785000,77165000,79268000,97399000,190110000,163500000,72620000
DHB8,HSD17B8,8795300,16681000,23207000,2852700,77517000,64835000,61944000,17406000,24992000,12067000,15690000,36303000,36260000,15290000
CSN5,COPS5,5654800,17775000,98963000,22343000,72634000,68319000,81979000,11005000,7602000,26939000,2569300,38623000,69314000,32743000
RIDA,RIDA,23906000,31287000,88961000,39858000,109990000,33151000,65819000,8419200,14593000,31692000,12139000,28161000,22447000,16105000
RABX5,RABGEF1,7318700,11518000,2616900,9707300,906170,841950,NA,3427800,6722600,1970100,4289400,NA,3677900,263980
TS101,TSG101,12717000,22615000,56550000,15126000,26330000,45832000,77031000,13140000,11109000,41499000,16154000,29157000,34872000,11977000
ACPH,APEH,47480000,86035000,118690000,57315000,262940000,74999000,194680000,32236000,56142000,79329000,59536000,163050000,79608000,51438000
RL19,RPL19,78310000,14463000,38233000,78162000,111940000,191890000,495880000,43906000,49591000,142120000,89033000,60458000,103990000,74920000
ACLY,ACLY,425300000,138420000,72909000,129670000,258390000,178760000,152600000,118260000,32438000,130630000,18564000,114700000,85595000,59803000
5MP2,BZW1,60066000,31232000,6767000,68088000,202100000,133610000,409760000,48820000,42835000,67090000,49980000,172190000,56340000,127710000
THAS,TBXAS1,11325000,15573000,7833400,105690000,15702000,27109000,13692000,9310700,10649000,9865000,7156800,18273000,3355600,1231700
SARG,SARG,4310700,3575500,NA,2013500,19167000,23061000,174420000,NA,2778700,10285000,4613800,24602000,75112000,16704000
CDC42,CDC42,134410000,161510000,297470000,183930000,328570000,253830000,334280000,153930000,193040000,122230000,156120000,198100000,55166000,132590000
QCR7,UQCRB,118770000,119180000,23374000,100400000,278200000,261010000,349220000,59002000,77608000,71887000,116220000,233930000,124160000,92775000
EXOC5,EXOC5,1993400,1285800,NA,7656500,20009000,27611000,32521000,5527200,4765000,3764100,5478100,13686000,15771000,7512500
SYNC,NARS1,85785000,41152000,74521000,210200000,411320000,283990000,422370000,46870000,77126000,73221000,60821000,261430000,309340000,96896000
ADPGK,ADPGK,29707000,24475000,31078000,2710600,107520000,127090000,90459000,68857000,69965000,37834000,22501000,25737000,13273000,5884000
DREB,DBN1,9158000,1824600,NA,620610,26795000,37797000,136910000,3567100,8492300,19163000,9063000,36831000,35623000,19584000
ACTY,ACTR1B,23858000,21745000,45115000,12155000,93464000,99317000,72475000,4716500,9764500,3189200,14456000,79698000,76923000,39912000
MARCS,MARCKS,23208000,12240000,NA,49030000,359950000,212620000,653660000,45935000,69603000,53964000,117000000,204120000,199480000,124370000
PLAP,PLAA,27600000,35565000,47459000,19904000,57439000,67426000,67442000,17988000,19471000,23147000,28464000,54561000,36016000,21045000
CLIC4,CLIC4,154490000,105710000,213420000,54534000,674330000,860580000,393290000,59169000,82312000,114400000,88549000,465930000,368010000,349320000
ABCE1,ABCE1,72658000,13190000,2980100,162210000,207130000,123150000,99273000,21458000,22554000,124280000,54355000,112490000,62752000,25706000
F1142,FAM114A2,8627700,14716000,31638000,6107900,38274000,40983000,45353000,8490800,7558500,11541000,11318000,21566000,35089000,20068000
COMD2,COMMD2,8552900,17686000,29240000,4258700,45067000,62643000,52111000,5733200,16891000,4279100,25556000,23294000,27899000,25758000
COG7,COG7,761450,2782400,3483900,798780,7421400,7628100,19187000,238430,NA,434150,147160,3580400,3760500,2819400
LGUL,GLO1,313260000,166190000,41335000,153110000,652170000,866740000,238680000,132300000,145170000,88479000,134120000,413800000,439920000,161110000
SEPT9,SEPTIN9,49241000,84105000,9843400,19927000,472580000,442200000,377420000,40215000,53977000,53502000,26317000,413360000,175510000,144230000
LIPB1,PPFIBP1,5399300,13695000,6417900,2704400,8782200,17945000,29819000,2142900,4959000,19506000,300780,9359500,8989500,7584200
CSN1,GPS1,13301000,10353000,55101000,8574200,56841000,60423000,78380000,10007000,15826000,14855000,11248000,54746000,43422000,26322000
PLRG1,PLRG1,8240000,10547000,2391100,3948900,15194000,20018000,42665000,1231700,676730,2843800,635070,9827300,3319300,2434200
IF4A3,EIF4A3,20511000,3979400,66525000,16016000,181350000,211460000,277020000,7172600,13283000,18401000,60331000,158270000,154980000,36435000
EIPR1,EIPR1,3586400,5024100,872620,4689200,18983000,9628000,17518000,5716300,3740600,1282900,4175000,8305000,9152300,5290700
TLN2,TLN2,47760000,5697700,23568000,4215900,21536000,14630000,21724000,2626400,2597300,5926300,1077100,5638000,20525000,2192700
CSN6,COPS6,29854000,36455000,4202000,12874000,144100000,111900000,88947000,14655000,24308000,21618000,13645000,94115000,69032000,30397000
KAP3,PRKAR2B,19202000,71482000,43174000,29343000,74855000,121950000,120730000,35546000,16483000,65149000,26174000,65689000,56144000,31239000
ADDG,ADD3,15528000,33978000,21655000,6785300,106850000,92737000,70697000,14194000,24193000,12169000,14516000,26214000,11543000,16025000
MK01,MAPK1,122130000,83047000,125120000,49443000,421190000,393400000,427000000,128200000,136800000,70952000,129680000,260570000,164400000,125480000
MAP1S,MAP1S,7612900,26400000,142170000,7052100,110300000,53250000,41091000,6251500,15322000,5450800,2611800,31527000,27852000,12746000
VISL1,VSNL1,28717000,4304300,33461000,7065300,45562000,45631000,215870000,39712000,59240000,53121000,62453000,216680000,120990000,54753000
CP51A,CYP51A1,9981500,7868300,38118000,2557000,66393000,21596000,68482000,8737600,18888000,24587000,16191000,25466000,20201000,20765000
IF5A1,EIF5A,733460000,460620000,1040300000,467560000,1888300000,1344400000,3666800000,520990000,594310000,781450000,477580000,1008900000,1380700000,1257800000
SYFA,FARSA,53813000,95609000,194880000,44772000,244190000,187430000,124340000,31779000,47092000,30376000,53643000,27347000,102410000,55658000
ANXA7,ANXA7,84547000,186370000,601730000,68333000,353490000,289020000,329440000,80299000,108730000,77273000,106840000,371070000,320980000,135750000
PLAK,JUP,240160000,131740000,56850000,19767000,546620000,540570000,1355600000,51903000,151320000,134870000,132120000,1421300000,1944100000,769340000
CPNE1,CPNE1,110600000,37435000,277020000,93287000,121530000,49494000,387210000,46858000,38210000,57007000,53780000,215720000,99690000,52489000
FERM2,FERMT2,70134000,31144000,25891000,20615000,622820000,407460000,69738000,99170000,110520000,66443000,126130000,506790000,716980000,361140000
TES,TES,15737000,1388600,33786000,19042000,384110000,211900000,184630000,7479200,26121000,25646000,17487000,210370000,129540000,117500000
TBCD,TBCD,8173100,6980700,15760000,6449400,10392000,8601700,17580000,1614200,3347100,1407900,5274400,5124100,9600800,4176400
CATG,CTSG,79251000,195100000,24048000,36507000,243590000,222630000,103180000,63749000,93806000,22125000,40994000,169690000,120250000,57460000
KAPCB,PRKACB,1108400,512500,1433800,NA,25029000,12517000,5654900,2752700,8561600,8019100,1569800,20211000,14190000,18309000
H2AY,MACROH2A1,10541000,46571000,14971000,6173500,58034000,63227000,60539000,3046300,840310,47965000,220000,69264000,41469000,651650
SNX3,SNX3,35430000,53989000,9219800,3047200,54850000,86037000,209950000,33463000,13611000,16938000,33961000,58757000,63243000,45581000
KLC1,KLC1,20069000,19949000,49880000,406030,71515000,102450000,83923000,16275000,21426000,20403000,18174000,51977000,62319000,28449000
IF4E,EIF4E,25127000,24229000,3574200,42443000,222110000,167020000,396370000,24235000,38360000,28595000,45196000,158020000,174190000,86018000
NHLC2,NHLRC2,17230000,24821000,29412000,11608000,68769000,71528000,41897000,12694000,16997000,21548000,18466000,25112000,43101000,27908000
HINT1,HINT1,104560000,82075000,NA,133190000,838700000,581330000,811290000,74897000,110400000,36634000,114090000,734350000,248110000,288380000
DCTN1,DCTN1,37141000,22566000,85648000,18419000,169570000,120520000,88804000,15505000,29184000,42430000,32132000,105840000,83976000,32750000
GOLP3,GOLPH3,8644400,112170000,28838000,31621000,79592000,99842000,78202000,3291600,5129500,4612800,2648700,7848800,9178000,6911600
WASC4,WASHC4,4249200,14416000,35950000,3392500,43398000,41031000,27067000,2712400,24162000,32536000,7541400,8657400,21132000,9887900
TBCE,TBCE,8371300,15267000,19207000,17591000,74167000,21156000,26570000,6367800,6197200,4722200,10302000,6311800,29229000,4161400
PEF1,PEF1,21569000,26616000,12861000,12713000,65922000,73664000,45367000,17342000,23655000,27395000,22564000,13058000,36208000,22835000
ERLEC,ERLEC1,3611300,5577500,11117000,1492800,52177000,46069000,20629000,5099300,13043000,4465800,1081100,7245700,3248000,5370100
SAE1,SAE1,52704000,42077000,11624000,40813000,18770000,22792000,142230000,38366000,31360000,27294000,30093000,7957000,10922000,8229100
PP4R1,PPP4R1,26566000,59773000,41505000,4415100,21398000,31429000,32345000,102120000,486980000,40535000,44645000,76369000,88956000,17280000
SYSM,SARS2,21138000,23638000,71526000,19902000,37489000,68410000,72756000,11704000,14601000,24891000,15807000,16809000,18765000,8708200
RAB5C,RAB5C,71280000,62087000,74619000,61249000,350340000,193030000,237770000,43542000,57231000,64445000,45994000,153970000,168540000,77133000
HDAC2,HDAC2,10829000,19284000,2602000,14779000,16566000,14634000,44361000,6801000,4892000,3193300,5427700,11284000,12539000,3749800
ACOX1,ACOX1,17189000,34867000,194420000,23472000,131140000,91789000,109660000,15978000,33791000,50775000,47973000,69903000,112900000,49437000
EF2,EEF2,2036700000,1981200000,1237800000,780510000,4479500000,3083400000,4230300000,753670000,1051300000,978830000,1689500000,2442300000,3654800000,707120000
THRB,F2,99772000,29179000,22088000,38217000,333200000,192760000,303500000,172600000,141350000,45474000,84747000,383560000,491920000,289740000
COX5B,COX5B,33668000,43675000,16954000,46383000,136860000,143820000,40877000,19398000,36820000,16937000,23326000,110230000,43952000,42010000
E2AK2,EIF2AK2,64292000,42653000,144310000,9443200,97850000,49580000,95379000,19047000,15968000,18607000,12343000,15853000,21407000,15541000
GNAS1,GNAS,26047000,27837000,42595000,19428000,157100000,175450000,193740000,17969000,28371000,58772000,31473000,89075000,127200000,53832000
SRP54,SRP54,36918000,57639000,41621000,35307000,68423000,72684000,83106000,21560000,24649000,57320000,21788000,55193000,20547000,28348000
DHE3,GLUD1,222420000,472370000,175000000,191590000,1282800000,663790000,918880000,212450000,229470000,205400000,208880000,781490000,542630000,312010000
CSN4,COPS4,33152000,40777000,88201000,17571000,91559000,103300000,98753000,25482000,32711000,37872000,29172000,81631000,53245000,40517000
PGRC2,PGRMC2,53176000,96085000,11746000,60725000,180830000,163010000,186600000,46496000,62613000,27740000,58680000,80735000,130620000,71116000
UBE2K,UBE2K,20319000,26288000,12059000,23744000,145460000,81370000,235800000,21730000,24242000,14942000,38927000,109090000,84307000,53219000
SPD2B,SH3PXD2B,5224300,1487500,NA,2610800,49241000,32662000,15345000,707110,400910,590250,3443700,22810000,6842100,2786900
CATL1,CTSL,9506600,34435000,NA,10496000,22164000,31134000,47376000,1467500,1104500,826760,162250,4648700,NA,4080500
TALDO,TALDO1,351430000,578900000,1179800000,213250000,1254800000,1789400000,1468100000,244070000,365810000,616810000,514440000,953720000,903070000,749730000
STK24,STK24,43867000,16227000,50226000,27262000,76092000,66158000,50998000,14793000,17318000,21255000,33033000,28712000,41859000,17484000
MPPB,PMPCB,16031000,22722000,NA,36301000,46190000,55889000,50765000,7289100,27153000,23898000,14650000,16057000,18124000,10024000
VINC,VCL,125420000,360600000,154590000,94369000,1779600000,2037500000,728490000,484110000,523100000,400560000,516080000,2159200000,2640700000,1571500000
MACD1,MACROD1,9062600,6479800,25873000,5556600,125940000,156290000,42591000,7373000,11134000,17169000,15503000,53134000,87317000,45071000
ATOX1,ATOX1,7751900,8393000,223640000,4090700,85005000,105830000,46316000,5596100,7781600,1306400,8586300,111550000,25915000,51128000
ODBA,BCKDHA,13237000,3543700,121540000,4978400,100560000,61185000,56751000,7916900,10472000,26537000,70085000,45065000,58647000,11655000
CAH12,CA12,53556000,63515000,602020,20238000,268770000,189300000,55181000,14027000,25817000,29311000,31650000,64353000,77715000,21323000
KCC2D,CAMK2D,41124000,60143000,21864000,50191000,273290000,121420000,94454000,32992000,47373000,44209000,38817000,83825000,109890000,64947000
STA5B,STAT5B,3468900,6525900,7300200,4199500,12258000,31494000,17831000,5596100,5718400,6315000,4819100,5425500,7959300,13092000
NBAS,NBAS,2196800,4950000,8938700,1098200,14645000,12307000,16937000,635480,2203300,3286100,1729000,6504600,6619200,4757300
BCAT2,BCAT2,26773000,28816000,958810,21849000,119950000,105770000,85906000,12520000,19102000,22723000,24092000,70115000,69261000,30828000
FBN1,FBN1,7407100,8640300,NA,2669400,44433000,49692000,70761000,11862000,26165000,38393000,8808900,65549000,152020000,52046000
RL12,RPL12,344430000,64696000,756580000,333580000,1220900000,879510000,1967400000,163770000,280710000,326670000,295120000,1013400000,819540000,387050000
RO60,RO60,40444000,46297000,70275000,21290000,162730000,175100000,140500000,21971000,46457000,77035000,33154000,79821000,117370000,43050000
TATD1,TATDN1,2430100,313000,23252000,2061100,31791000,17747000,26370000,11065000,3177200,2277900,2399600,7844000,20171000,2591100
ECHD1,ECHDC1,35787000,31199000,29093000,15115000,118130000,94533000,125420000,17515000,21348000,39119000,18229000,72669000,55083000,23742000
CK068,C11orf68,11667000,9193000,10404000,8927300,35603000,28099000,19389000,13454000,4275100,1275600,2184400,21808000,16757000,7679200
FETUA,AHSG,380970000,220490000,21124000,224730000,905050000,1113100000,840470000,878240000,410240000,221650000,504190000,957360000,1993500000,835300000
ACAD9,ACAD9,51211000,45018000,84176000,36037000,151760000,102460000,90166000,19053000,31846000,35034000,18953000,92189000,100520000,60251000
ABRX2,ABRAXAS2,4980400,13555000,19966000,11510000,28995000,30882000,18172000,14358000,5464700,16484000,5980500,18449000,14358000,6820900
AP2A1,AP2A1,45184000,48919000,163180000,15522000,98815000,71207000,135800000,88227000,28185000,33018000,109630000,51098000,49778000,10426000
AFAD,AFDN,23436000,28879000,109620000,4811300,66943000,31868000,62411000,6785200,13547000,19286000,18398000,33930000,92551000,23968000
PP4C,PPP4C,19232000,17038000,19013000,8713800,30741000,54134000,49071000,9753200,13765000,24537000,8540500,31598000,19752000,10740000
STRN3,STRN3,6553500,8436200,2704800,5524000,26570000,27793000,33626000,7204600,8765900,6849900,13262000,14312000,9991900,10331000
SMRC2,SMARCC2,6785200,5008300,81448000,6366100,91402000,53452000,55947000,2845000,4476100,7259500,1315300,24906000,67671000,9120400
RACK1,RACK1,550990000,589000000,616260000,324370000,1773300000,1683300000,1825400000,251170000,348940000,292480000,397910000,1306500000,1410900000,712960000
CLPT1,CLPTM1,9980600,10194000,15513000,6556400,59784000,49755000,92030000,6580000,9976700,30478000,11106000,57991000,29693000,10505000
PSMD4,PSMD4,62687000,642090,40962000,45503000,183980000,90511000,209950000,23545000,44978000,46232000,43268000,127860000,77640000,43285000
ACSL5,ACSL5,6605300,19584000,477230000,28143000,104020000,67467000,4072900,2221000,947910,543080,3575400,2199700,7285300,NA
XPOT,XPOT,20265000,23991000,26916000,8659200,53005000,49845000,59221000,10489000,12424000,17007000,13021000,17988000,76234000,8067400
EF1A1,EEF1A1,4084300000,3772000000,6374800000,2204900000,11557000000,10346000000,9955600000,2290300000,3267700000,3558800000,4026900000,6051600000,7029700000,4777900000
UBXN7,UBXN7,3822200,3373400,3969500,4892600,19372000,32254000,21576000,1120800,4835900,3802000,8065400,6024700,6445800,3204000
COQ9,COQ9,5721000,19369000,52524000,33644000,42112000,81144000,44536000,11891000,14545000,12498000,18167000,50657000,37682000,33783000
TCPH,CCT7,203590000,196330000,430730000,118890000,382520000,270990000,532820000,84635000,161810000,84005000,163470000,355070000,429830000,93158000
EIF2D,EIF2D,8686100,8647500,34300000,9781600,20427000,41529000,15932000,7182300,14676000,10876000,8739300,18636000,16696000,2963200
AGFG1,AGFG1,4725000,22235000,4360800,9302800,40420000,62777000,80685000,3063100,9334000,8375800,3589600,40377000,40140000,21449000
NP1L4,NAP1L4,97849000,71684000,210690000,42674000,344330000,138700000,360720000,46041000,99031000,99476000,122100000,207300000,174470000,66265000
MAAI,GSTZ1,10713000,10676000,1206900,2669700,45144000,12418000,17305000,3830600,9673600,27426000,15494000,40200000,54854000,11556000
SEPT6,SEPTIN6,12573000,49805000,34628000,16722000,178800000,148290000,84165000,17398000,33876000,26609000,20619000,122760000,76842000,39832000
DHRS6,BDH2,15223000,43232000,46475000,15431000,92771000,61752000,38012000,25090000,29512000,22684000,23226000,48381000,34966000,17599000
TRI25,TRIM25,37541000,40317000,40542000,21662000,86550000,230050000,378190000,41413000,28522000,59785000,111970000,739020000,215640000,369170000
FKBP3,FKBP3,77038000,83307000,64215000,48111000,304210000,218330000,319470000,46957000,62231000,36339000,63631000,218860000,198840000,91403000
AK1A1,AKR1A1,205160000,250030000,711560000,183810000,1232900000,1168000000,350140000,179230000,253620000,190820000,205580000,600090000,668740000,545800000
RL7,RPL7,406650000,256650000,29466000,258370000,1091500000,774520000,1003200000,156140000,231800000,408520000,319410000,692010000,442670000,212600000
DPYL3,DPYSL3,100340000,76403000,156880000,94666000,648790000,947910000,325390000,147610000,252560000,245140000,180560000,1204100000,885980000,726520000
